"State","Abbrev","Code"
"Wyoming","Wyo.","WY"
"Wisconsin","Wis.","WI"
"Washington","Wash.","WA"
"West Virginia","W.Va.","WV"
"Vermont","Vt.","VT"
"Virginia","Va.","VA"
"Utah","Utah","UT"
"Texas","Tex.","TX"
"Tennessee","Tenn.","TN"
"South Dakota","S.D.","SD"
"South Carolina","S.C.","SC"
"Rhode Island","R.I.","RI"
"Pennsylvania","Pa.","PA"
"Oregon","Ore.","OR"
"Oklahoma","Okla.","OK"
"Ohio","Ohio","OH"
"Nevada","Nev.","NV"
"Nebraska","Nebr.","NE"
"New York","N.Y.","NY"
"New Mexico","N.M.","NM"
"New Jersey","N.J.","NJ"
"New Hampshire","N.H.","NH"
"North Dakota","N.D.","ND"
"North Carolina","N.C.","NC"
"Montana","Mont.","MT"
"Missouri","Mo.","MO"
"Mississippi","Miss.","MS"
"Minnesota","Minn.","MN"
"Michigan","Mich.","MI"
"Maryland","Md.","MD"
"Massachusetts","Mass.","MA"
"Maine","Maine","ME"
"Louisiana","La.","LA"
"Kentucky","Ky.","KY"
"Kansas","Kans.","KS"
"Iowa","Iowa","IA"
"Indiana","Ind.","IN"
"Illinois","Ill.","IL"
"Idaho","Idaho","ID"
"Hawaii","Hawaii","HI"
"Georgia","Ga.","GA"
"Florida","Fla.","FL"
"Delaware","Del.","DE"
"District of Columbia","D.C.","DC"
"Connecticut","Conn.","CT"
"Colorado","Colo.","CO"
"California","Calif.","CA"
"Arkansas","Ark.","AR"
"Arizona","Ariz.","AZ"
"Alaska","Alaska","AK"
"Alabama","Ala.","AL"